YEAR,ROAD USER TYPE,SERIOUS INJURIES
2004,Cyclists,85
2004,Motor Vehicle Occupants,1537
2004,Motorcyclists,245
2004,Pedestrians,259
2005,Cyclists,113
2005,Motor Vehicle Occupants,1659
2005,Motorcyclists,249
2005,Pedestrians,328
2006,Cyclists,86
2006,Motor Vehicle Occupants,1659
2006,Motorcyclists,223
2006,Pedestrians,332
2007,Cyclists,76
2007,Motor Vehicle Occupants,1655
2007,Motorcyclists,262
2007,Pedestrians,340
2008,Cyclists,98
2008,Motor Vehicle Occupants,1421
2008,Motorcyclists,267
2008,Pedestrians,305
2009,Cyclists,79
2009,Motor Vehicle Occupants,1309
2009,Motorcyclists,274
2009,Pedestrians,284
2010,Cyclists,99
2010,Motor Vehicle Occupants,1192
2010,Motorcyclists,264
2010,Pedestrians,296
2011,Cyclists,89
2011,Motor Vehicle Occupants,1042
2011,Motorcyclists,201
2011,Pedestrians,283
2012,Cyclists,107
2012,Motor Vehicle Occupants,1054
2012,Motorcyclists,236
2012,Pedestrians,320
2013,Cyclists,85
2013,Motor Vehicle Occupants,994
2013,Motorcyclists,244
2013,Pedestrians,302
2014,Cyclists,111
2014,Motor Vehicle Occupants,1040
2014,Motorcyclists,240
2014,Pedestrians,356
2015,Cyclists,99
2015,Motor Vehicle Occupants,1084
2015,Motorcyclists,258
2015,Pedestrians,332
